config_id,fold,case_id,n_estimators,max_depth,min_samples_leaf,max_features,pancreas_dice,kidney_dice,liver_dice,mean_foreground_dice
config_001,1,UKCHLL001,100,5,1,sqrt,0.6100656894523967,0.9115550079309807,0.9766402857533208,0.832753661045566
config_001,1,UKCHLL002,100,5,1,sqrt,0.7233203545688013,0.9397949260823004,0.9689260064863876,0.8773470957124965
config_001,1,UKCHLL042,100,5,1,sqrt,0.7535881457252425,0.9118468170138382,0.9288869880843562,0.8647739836078122
config_001,1,UKCHLL045,100,5,1,sqrt,0.6634922655802407,0.9179988790420734,0.9704472696367366,0.8506461380863503
config_001,2,UKCHLL011,100,5,1,sqrt,0.5138238058617448,0.9468381487619185,0.9664779284986639,0.8090466277074424
config_001,2,UKCHLL017,100,5,1,sqrt,0.5566541351308083,0.9296914397292988,0.9754181548682244,0.8205879099094439
config_001,2,UKCHLL031,100,5,1,sqrt,0.8101688234907706,0.9452182320095138,0.9706176407060995,0.9086682320687945
config_001,2,UKCHLL037,100,5,1,sqrt,0.7172738452292848,0.9232387332454103,0.9673188024894931,0.8692771269880627
config_001,3,UKCHLL009,100,5,1,sqrt,0.8266736778330923,0.9192797349321298,0.9690847571708786,0.9050127233120335
config_001,3,UKCHLL039,100,5,1,sqrt,0.6532335867057908,0.9380555197518872,0.9649582218136256,0.8520824427571011
config_001,3,UKCHLL043,100,5,1,sqrt,0.7592579789072846,0.9134915649176079,0.9684762702673584,0.880408604697417
config_001,3,UKCHLL046,100,5,1,sqrt,0.6695798009016356,0.945144230363714,0.9536503018598482,0.8561247777083993
config_001,4,UKCHLL015,100,5,1,sqrt,0.5353052699724093,0.9307446037128607,0.9691982585889596,0.8117493774247432
config_001,4,UKCHLL034,100,5,1,sqrt,0.6696941473568406,0.941694001366563,0.9660044990235439,0.8591308825823157
config_001,4,UKCHLL038,100,5,1,sqrt,0.6442210102301341,0.8979858375254121,0.9716979857711816,0.8379682778422426
config_001,4,UKCHLL048,100,5,1,sqrt,0.37093020736278737,0.9228490894820242,0.9474744638948286,0.7470845869132133
config_001,5,UKCHLL021,100,5,1,sqrt,0.747400853759295,0.9276656129037344,0.9624945811327416,0.8791870159319236
config_001,5,UKCHLL023,100,5,1,sqrt,0.690869568952926,0.9213942011661113,0.04487916723506511,0.5523809791180341
config_001,5,UKCHLL035,100,5,1,sqrt,0.6820672833793746,0.9414357896164671,0.9655252967509623,0.863009456582268
config_001,5,UKCHLL041,100,5,1,sqrt,0.7788203132239829,0.9444329425502728,0.9474796764028962,0.8902443107257173
config_002,1,UKCHLL001,100,5,1,all,0.7095895447556655,0.9014198821136729,0.9754732926367746,0.8621609065020376
config_002,1,UKCHLL002,100,5,1,all,0.7348672441597124,0.937739568309807,0.9692016985481022,0.8806028370058737
config_002,1,UKCHLL042,100,5,1,all,0.8301827384396192,0.9106466574569674,0.9263811205357348,0.8890701721441072
config_002,1,UKCHLL045,100,5,1,all,0.7435652315073682,0.9139308126866559,0.971054555939422,0.8761835333778154
